ID,title,year_of_commissioning,area_sq_m,apartment_storey,district,location,price_m2,loc_mid,location_group
3432,United center-t 3 oroo bair,2020,88,12,Bayanzurkh,13-r khoroolol,15,13-r khoroolol,13-r khoroolol
6961,220k d 3 oroo,2013,120,15,Sukhbaatar,Busad,14.33333333,220 myangat,SBTalbai
4480,River tower-t 380m2 bair,2018,380,13,KHan-Uul,River Garden,11.84210526,River Garden,Marshal
3245,Bella vista-d 4 oroo,2021,163,2,KHan-Uul,Zaisan,11.65644172,Zaisan,Zaisan
4320,Zaisand bella vista khotkhond 4 oroo bair,2019,163,2,KHan-Uul,Zaisan,11.65644172,Zaisan,Zaisan
5187,Bella vista luxury khotkhond 4 oroo,2021,163,2,KHan-Uul,Zaisan,11.65644172,Zaisan,Zaisan
6420,Zaisan bella vista luxury khotkhond 163 mkw 4 oroo,2020,163,3,KHan-Uul,Zaisan,11.65644172,Zaisan,Zaisan
6437,Zaisan bella vista luxury khotkhond 163 mkw 4 oroo,2019,163,2,KHan-Uul,Zaisan,11.65644172,Zaisan,Zaisan
4025,Japan town c5 3oroo bair,2022,134,2,KHan-Uul,Japan town,11.49253731,Japan town,Tsengeldekh
5050,Japan town c5-d 4 oroo,2017,166,8,KHan-Uul,Japan town,11.44578313,Japan town,Tsengeldekh
6421,Japan town c5|166m2 |4oroo oron suuts,2018,166,7,KHan-Uul,Japan town,11.44578313,Japan town,Tsengeldekh
4753,Sb talbain chankh urd 3 oroo bair,2019,156,10,Sukhbaatar,Busad,11.21794872,SBTalbai,SBTalbai
7863,Sb talbain chankh urd 3 oroo bair,2019,156,10,Sukhbaatar,Busad,11.21794872,SBTalbai,SBTalbai
653,Sky garden residence khotkhond 4 oroo bair 110.56m2,2022,110.56,3,KHan-Uul,Busad,11.21562952,Sky garden,Marshal
1679,220k residence-d 92.15mk 3 oroo bair,2018,92,13,Sukhbaatar,220 myangat,11,220 myangat,SBTalbai
3146,220k residence-d 84.49mk 3 oroo bair,2019,85,13,Sukhbaatar,220 myangat,11,220 myangat,SBTalbai
1283,Soyombo tauert 4 oroo oron suuts,2022,132.72,9,Sukhbaatar,"40, 50 myangat",10.92525618,"40, 50 myangat","40, 50 myangat"
655,"KHud, japan town c-5 khotkhond 3 oroo",2019,133.5,13,KHan-Uul,Busad,10.86142322,Japan town,Tsengeldekh
2986,Japan town c5 3 oroo bair,2020,133.5,13,KHan-Uul,Japan town,10.86142322,Japan town,Tsengeldekh
4129,"𝐉𝐀𝐏𝐀𝐍 _𝐓𝐎𝐖𝐍 𝐂𝟓 blokd 133.5m2 , 3 oroo bair.",2019,133.5,3,KHan-Uul,Japan town,10.86142322,Japan town,Tsengeldekh
4963,"𝐉𝐀𝐏𝐀𝐍 𝐓𝐎𝐖𝐍 𝐂𝟓 blokd 133.5m2 , 3 oroo oron suuts",2020,133.5,13,KHan-Uul,Japan town,10.86142322,Japan town,Tsengeldekh
5081,"Japan town c-5 blokd 133.5m2 , 3 oroo bair",2018,133.5,8,KHan-Uul,Japan town,10.86142322,Japan town,Tsengeldekh
5817,Japan town c5-d 3 oroo 133.5m2,2016,133.5,13,KHan-Uul,Japan town,10.86142322,Japan town,Tsengeldekh
7748,Japan town c5 3 oroo bair 133.5m2,2018,133.5,2,KHan-Uul,Japan town,10.86142322,Japan town,Tsengeldekh
7380,Japantown 3 oroo,2018,133.51,2,KHan-Uul,Japan town,10.86060969,Japan town,Tsengeldekh
1795,220k residence khotkhond 3 oroo bair,2018,84,10,Sukhbaatar,220 myangat,10.85,220 myangat,SBTalbai
3021,220k 3 oroo,2018,84.5,10,Sukhbaatar,220 myangat,10.84023669,220 myangat,SBTalbai
696,Japan town c5-d 3 oroo 134m2,2018,134,2,KHan-Uul,Busad,10.82089552,Japan town,Tsengeldekh
3214,Japan town c5 3 oroo,2018,134,2,KHan-Uul,Japan town,10.82089552,Japan town,Tsengeldekh
3387,Japan town c5 oron suuts,2022,134,3,KHan-Uul,Japan town,10.82089552,Japan town,Tsengeldekh
3424,Japan town c5 tyerrastai 3 oroo 134 mkw,2020,134,2,KHan-Uul,Japan town,10.82089552,Japan town,Tsengeldekh
3795,Japan taun japan town c5-d 3 oroo tyerrastai oron suuts,2018,134,3,KHan-Uul,Japan town,10.82089552,Japan town,Tsengeldekh
4076,Japan town c5 3 oroo,2018,134,2,KHan-Uul,Japan town,10.82089552,Japan town,Tsengeldekh
7629,"Japan town c5 3 oroo 133,5 m2",2018,134,2,KHan-Uul,Japan town,10.82089552,Japan town,Tsengeldekh
4665,��𝐀𝐏𝐀𝐍 _𝐓𝐎𝐖𝐍 𝐂𝟓 blokd bair 3 oroo bair,2020,136,25,KHan-Uul,Japan town,10.66176471,Japan town,Tsengeldekh
4633,Japan town c5 khotkhond,2018,138,2,KHan-Uul,Japan town,10.50724638,Japan town,Tsengeldekh
3797,Regis place -d,2022,88,12,KHan-Uul,120 myangat,10.5,120 myangat,120 myangat
2475,Regis place 115mkw 3 oroo,2022,115,14,KHan-Uul,120 myangat,10.17391304,120 myangat,120 myangat
4085,Olympic residence,2018,140.5,6,Sukhbaatar,Busad,10.03558719,Olympic residence,SBTalbai
1143,Olympic residence-d 3 oroo bair,2020,140,22,Sukhbaatar,Busad,10,Olympic residence,SBTalbai
1663,Olympic residence 3 oroo bair,2020,140,6,Sukhbaatar,Busad,10,Olympic residence,SBTalbai
2376,Olympic residence 140mkw 3oroo,2020,140,6,Sukhbaatar,Busad,10,Olympic residence,SBTalbai
4920,Sappora 1 oroo,1991,12,1,Songino KHairkhan,1-r khoroolol,10,1-r khoroolol,1-r khoroolol
6333,TSengeldekhiin khajuud 2 oroo,2022,50.6,4,KHan-Uul,120 myangat,10,120 myangat,120 myangat
6869,Bzd 16-r khoroo saruul tenger khotkhond 2 oroo bair 40m2,2016,40,1,Bayanzurkh,16-r khoroolol,10,16-r khoroolol,Tsaiz
1869,Shambha-la garden&village-d single khaus,2022,542,3,KHan-Uul,Zaisan,9.778597786,Zaisan,Zaisan
4102,Ss garden 4 oroo,2020,206,3,KHan-Uul,Busad,9.708737864,SS garden,120 myangat
5545,Ss garden khotkhond 206mkw 5 oroo,2021,206,4,KHan-Uul,Japan town,9.708737864,Japan town,Tsengeldekh
4872,KHotыn tow -d 115mkw 2 oroo oron suutsыg zasal tawilgыn kh,2021,115,13,KHan-Uul,120 myangat,9.565217391,120 myangat,120 myangat
