title,price_mln_MNT,flooring_material,number_of_balcony,year_of_commissioning,garage,window_type,number_of_storeys,door_type,area_sq_m,apartment_storey,leasing,district,number_of_windows,location,construction_progress
Нисэхэд 2 өрөө,110.0,Паркет,1.0,2016.0,Байхгүй,Вакум,10.0,Бүргэд,50.0,5.0,Банкны лизингтэй,Хан-Уул,3.0,Нисэх,Ашиглалтад орсон
Баянмонгол хороололд 73.7мкв 2 өрөө,213.73,Паркет,1.0,2012.0,Байгаа,Вакум,10.0,Төмөр,74.0,10.0,Банкны лизингтэй,Баянзүрх,3.0,Баянмонгол хороолол,Ашиглалтад орсон
Хорооллын өргөө-н урд 3 өрөө,303.18,Паркет,2.0,2020.0,Байхгүй,Вакум,16.0,Төмөр вакум,97.8,9.0,Лизинггүй,Баянгол,4.0,"3, 4 хороолол",Ашиглалтад орсон
Өрнөх хороололд цоо шинэ 2 өрөө,2.65,Паркет,1.0,2022.0,Байхгүй,Вакум,15.0,Бүргэд,55.7,13.0,Банкны лизингтэй,Баянзүрх,3.0,Офицер,Ашиглалтад орсон
Алтай хотхонд 2 өрөө,170.78,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,53.37,9.0,Лизинггүй,Баянгол,3.0,Алтай хотхон,Ашиглалтад орсон
13 хороололд 3 өрөө,260.0,Паркет,1.0,2010.0,Байгаа,Вакум,5.0,Бүргэд,80.0,1.0,Лизинггүй,Баянзүрх,5.0,13-р хороолол,Ашиглалтад орсон
Хорооллын өргөө урд pearl apartment 3 өрөө,303.18,Паркет,1.0,2020.0,Байхгүй,Вакум,16.0,Вакум,98.0,9.0,Лизинггүй,Баянгол,4.0,Бусад,Ашиглалтад орсон
Өргөө кино театр-н замын урд 3 өрөө байр,303.18,Паркет,1.0,2020.0,Байхгүй,Вакум,16.0,Бүргэд,97.8,9.0,Лизинггүй,Баянгол,4.0,Бусад,Ашиглалтад орсон
White hill apartment хотхонд 54.85м2 2 өрөө байр,175.52,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,54.85,1.0,Лизинггүй,Баянзүрх,2.0,Сансар,Ашиглалтад орсон
Park garden,6.0,Паркет,1.0,2022.0,Байгаа,Вакум,20.0,Бүргэд,101.0,14.0,Лизинггүй,Хан-Уул,5.0,Бусад,Ашиглалтад орсон
220k ийн урд 4 өрөө байр,700.0,Паркет,2.0,2000.0,Байгаа,Вакум,5.0,Бүргэд,125.0,4.0,Лизинггүй,Сүхбаатар,6.0,Бусад,Ашиглалтад орсон
"Яармаг, cedar city хотхонд 57,36м2 2 өрөө байр",189.29,Паркет,1.0,2022.0,Байхгүй,Вакум,13.0,Төмөр,57.36,11.0,Банкны лизингтэй,Хан-Уул,3.0,Яармаг,Ашиглалтад орсон
"Сансарын e mart ын хойно nissora tower 113,5мкв 3 өрөө орон сууц",400.0,Паркет,1.0,2016.0,Байгаа,Вакум,16.0,Төмөр,113.5,15.0,Лизинггүй,Баянзүрх,3.0,Сансар,Ашиглалтад орсон
Buti town-д 108мк мастэр унтлагын өрөөтэй 3 өрөө,3.9,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,108.0,2.0,Лизинггүй,Хан-Уул,4.0,King Tower,Ашиглалтад орсон
"Худ modun town хотхонд 49,36м2 2 өрөө байр",258.0,Паркет,1.0,2019.0,Байхгүй,Вакум,12.0,Төмөр,49.36,9.0,Лизинггүй,Хан-Уул,2.0,River Garden,Ашиглалтад орсон
Кинг товэрт урагшаа харсан цонхтой 112мк шинэ 3 өрөө,570.0,Паркет,0.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,112.0,11.0,Лизинггүй,Хан-Уул,3.0,King Tower,Ашиглалтад орсон
